Applicant_Gender,Owned_Car,Owned_Realty,Total_Income,Applicant_Age,Years_of_Working,Status,Government employee,Hourly/commission employee,Pensioner,Salaried employee,Student,Married,Separated,Single,Widow,Bachelor's degree,High school,Master's degree or higher,Some college,Some high school,Homeowner,Public housing,Renting,With parents
0,1,1,15750,59,4,1,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False
1,0,1,37800,53,9,1,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False
1,0,1,37800,53,9,1,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False
1,0,1,37800,53,9,1,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False
1,0,1,37800,53,9,1,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False
0,1,1,37800,47,3,1,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False
0,1,1,18900,49,4,1,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
0,1,1,18900,49,4,1,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
0,1,1,18900,49,4,1,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
0,1,1,18900,49,4,1,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
0,1,1,18900,49,4,1,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
0,1,1,18900,49,4,1,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
1,1,0,18270,30,4,1,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False
1,1,0,18270,30,4,1,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False
1,0,1,22050,28,5,1,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False
1,0,1,22050,28,5,1,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False
1,0,1,22050,28,5,1,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False
0,1,1,37800,35,4,1,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False
0,1,1,37800,35,4,1,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False
0,0,1,56700,33,6,1,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
0,0,1,56700,33,6,1,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
0,0,1,56700,33,6,1,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
0,0,1,56700,33,6,1,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
0,0,1,56700,33,6,1,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
0,0,1,56700,33,6,1,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
0,1,1,15750,57,13,1,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
0,1,1,15750,57,13,1,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
0,1,1,15750,57,13,1,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
0,1,1,15750,57,13,1,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
0,1,1,15750,57,13,1,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
0,1,1,15750,57,13,1,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
0,1,1,15750,57,13,1,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
0,1,1,15750,57,13,1,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
1,1,1,18900,44,9,1,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False
1,1,1,18900,44,9,1,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False
1,1,1,18900,44,9,1,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False
1,1,1,18900,44,9,1,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False
1,1,1,18900,44,9,1,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False
1,1,1,18900,44,9,1,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False
1,1,1,18900,44,9,1,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False
1,1,1,18900,44,9,1,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False
1,1,1,18900,44,9,1,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False
1,1,1,18900,44,9,1,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False
1,1,1,18900,44,9,1,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False
1,1,1,18900,44,9,1,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False
1,1,1,18900,44,9,1,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False
1,1,1,18900,44,9,1,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False
1,0,1,29610,45,20,1,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
1,0,1,29610,45,20,1,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
0,1,1,50400,46,15,1,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
1,0,1,17640,34,5,1,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
1,0,1,17640,34,5,1,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
1,0,1,17640,34,5,1,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
1,0,1,17640,34,5,1,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
1,0,1,17640,34,5,1,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
1,0,1,17640,34,5,1,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
1,0,1,17640,34,5,1,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
1,0,1,17640,34,5,1,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
1,0,1,17640,34,5,1,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
1,0,1,17640,34,5,1,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
1,0,1,34650,47,4,1,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False
1,0,1,34650,47,4,1,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False
1,0,1,34650,47,4,1,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False
1,0,1,41580,43,9,1,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
1,0,1,41580,43,9,1,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
1,0,1,41580,43,9,1,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
1,0,1,41580,43,9,1,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
1,0,1,41580,43,9,1,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
1,0,1,41580,43,9,1,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
1,0,1,41580,43,9,1,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
1,0,1,41580,43,9,1,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
1,0,1,41580,43,9,1,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
1,0,1,41580,43,9,1,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
1,0,1,41580,43,9,1,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
1,0,1,41580,43,9,1,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
1,0,1,41580,43,9,1,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
